N_Threads Read_Time Remaining_Values Mean_Values Cov_Matrix
1   3.039922  62.376979 1.956789 12.789299
2   1.457152  21.785984 0.755189 5.345778
4   0.624844  10.183428 0.354822 2.719019
8   0.301617  5.448474  0.197969 1.763516
16  0.207140  2.792085  0.138071 1.395177
20  0.227219  2.100548  0.134238 1.384784
30  0.270278  2.100560  0.126751 1.351700
40  0.346832  1.559144  1.057576 2.025939
80  0.157675  0.869570  1.004650 2.539680
