Vfuente	Vmed	I    Z	        Psi	        L
50	1.47	1.0463	1.4050	0.0066	4.4721
80	2.38	1.6737	1.4220	0.0107	4.5264
110	3.29	2.2987	1.4312	0.0148	4.5558
130	3.9	    2.7142	1.4369	0.0176	4.5738
140	4.21	2.9204	1.4416	0.0190	4.5887
160	4.82	3.3353	1.4451	0.0217	4.6000
180	5.43	3.7468	1.4492	0.0244	4.6131
200	6.03	4.1566	1.4507	0.0271	4.6177
210	6.33	4.3581	1.4525	0.0285	4.6233
220	6.63	4.5584	1.4545	0.0298	4.6297
230	6.93	4.7580	1.4565	0.0312	4.6362
240	7.22	4.9569	1.4566	0.0325	4.6364
