Vfuente	Vmed	I    Z	        Psi	        L
50	0.25	1.0545	0.2371	1.1254	0.7546
80	0.37	1.6855	0.2195	1.6656	0.6988
110	0.5	    2.3159	0.2159	2.2508	0.6872
130	0.59	2.7360	0.2156	2.6559	0.6864
140	0.63	2.9449	0.2139	2.8360	0.6810
160	0.72	3.3620	0.2142	3.2411	0.6817
180	0.81	3.7726	0.2147	3.6463	0.6834
200	0.9	    4.1902	0.2148	4.0514	0.6837
210	0.95	4.3947	0.2162	4.2765	0.6881
220	0.99	4.5950	0.2155	4.4566	0.6858
230	1.04	4.7955	0.2169	4.6816	0.6903
240	1.08	4.9960	0.2162	4.8617	0.6881
