Vfuente	Vmed	I    Z	        Psi	        L
50	0.94	1.0461	0.8986	0.0042	2.8603
80	1.53	1.6735	0.9143	0.0069	2.9102
110	2.12	2.2991	0.9221	0.0095	2.9351
130	2.51	2.7149	0.9245	0.0113	2.9429
140	2.7	    2.9211	0.9243	0.0122	2.9422
160	3.1	    3.3371	0.9290	0.0140	2.9569
180	3.49	3.7477	0.9312	0.0157	2.9642
200	3.88	4.1561	0.9336	0.0175	2.9716
210	4.07	4.3566	0.9342	0.0183	2.9737
220	4.26	4.5546	0.9353	0.0192	2.9772
230	4.45	4.7525	0.9363	0.0200	2.9805
240	4.64	4.9502	0.9373	0.0209	2.9836
